LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,DEA_INTERNAL_EMAIL,DEA_INTERNAL_NAME,ACTIVITY_AT,STATUS_CHANGE
lead_UIxbEJiyXp47JCbHmCXQ4QTegS1kQgqvDMPVyLKt53s,acti_6Ts0T5No3Wlxoc0thS6DNRGkEQAjMn5OsPHh1UmfJ7V,5) Strategy Call,1. Follow Up,,,2026-04-01 22:53:24.636,published
lead_UKCv6lt1WbU9FVIPwHmGcPuJl3sBpp9GfD8FmJWjxyf,acti_iK8IzbpjucHDeJbdB16JUc12mEoccYoGAbj0xIyyALl,5) Strategy Call,1. Follow Up,,,2026-04-27 21:32:53.805,published
lead_UKCv6lt1WbU9FVIPwHmGcPuJl3sBpp9GfD8FmJWjxyf,acti_n2vvFijWK0OsZguLS8PjRzPQ0gtOmhAynuOEr5l4VLG,5) Strategy Call,3. Cancel- Not Interested,,,2026-05-13 14:08:39.074,published
lead_ULmRFXLXBfwtq4iVlqiGFp6Dm1BfRDPs9YjNqdCq45s,acti_2zVEPD3dWvez8CB5QaDoC9Iotv69Wh7AZL5i5jmcdvi,5) Strategy Call,5. Reschedule,,,2026-06-16 00:23:08.392,published
lead_ULmRFXLXBfwtq4iVlqiGFp6Dm1BfRDPs9YjNqdCq45s,acti_TMy2M2kwHF0gk3dBbkCgstCt8oCbmckkjhH0d0FmyFN,5) Strategy Call,3. Cancel- Not Interested,,,2026-06-20 00:35:35.993,published
lead_UPONHl4CeBdLOGWEesvwTxBfpWIDKWiEgD1zv8DlfAT,acti_OqPXOyVQbnOnZ0HlvTiweyGYhrlgMJOO3oiBgfqEmue,6) Strategy Call Follow Up,,olivier@dataengineeracademy.com,Olivier Auguste,2026-05-18 13:45:37.357,published
lead_UPONHl4CeBdLOGWEesvwTxBfpWIDKWiEgD1zv8DlfAT,acti_qZMJFUcdUFTt8dY9wYbEfdPO60cXdoC1Ut12iG9Oxrx,5) Strategy Call,1. Follow Up,olivier@dataengineeracademy.com,Olivier Auguste,2026-05-15 20:41:30.810,published
lead_URfc65TDY7CeGuZL6HkFdLE6ifHDcHuCfCoKKsnRJ2s,acti_Yzhr0h3eYBQ35TbDJtWJaiDySJsR0NNJjixxKVam2UB,5) Strategy Call,4. No Show,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-04-20 02:09:43.386,published
lead_URzOsX9LoFfrc0POiAhRfwcd9wTtIagUZRqXDXnl6Uz,acti_GZlgRxt8PdiY8x60Ne9i1WIbPp0r2o9V25bYfX6dmyv,5) Strategy Call,4. No Show,,,2026-04-30 00:37:38.107,published
lead_UUn5QgX7N8f48HMRKSZJQI8nkYxE9JqdZKEwq8Qn1ih,acti_ZRQQFudz6Llm6yErt94QlZaBUWjvAfLXhxdP1TkvX2u,5) Strategy Call,1. Follow Up,,,2026-04-30 00:36:54.532,published
lead_UVuCwCffyFGPVQbd77ovadORuGx2C2tF8s2PvL1PtAt,acti_3O9HYXCL9NiNkHpqSqGSNvxqOLY5pAYD6DCbUXh0WZ4,5) Strategy Call,1. Follow Up,chris@dataengineeracademy.com,Christopher Garzon,2026-06-05 03:47:45.636,published
lead_UVuCwCffyFGPVQbd77ovadORuGx2C2tF8s2PvL1PtAt,acti_UAvfQS2h13yjs55nIiBVGXweZDKZ8aLBB8R3lUwP7E9,6) Strategy Call Follow Up,,,,2026-06-23 14:26:14.074,published
lead_UVuCwCffyFGPVQbd77ovadORuGx2C2tF8s2PvL1PtAt,acti_UjgBCY0lBXSrAvKncGlPUPGSi1RJoeRDHpEMy6RjGV2,5) Strategy Call,1. Follow Up,chris@dataengineeracademy.com,Christopher Garzon,2026-06-05 03:48:13.583,published
lead_UVuCwCffyFGPVQbd77ovadORuGx2C2tF8s2PvL1PtAt,acti_os2hBX4pTD3xzdADsYW2Um66hSlWde7XjurW9L3maJS,5) Strategy Call,1. Follow Up,chris@dataengineeracademy.com,Christopher Garzon,2026-06-05 03:48:39.096,published
lead_UXH7hydPs8ppwSDXbabeEOUcRyMU65QFLGSPsIsgsGN,acti_Ufb4oVDJWOjyBvTRUfbAVvIEfZMP7XkBJXVxQiXmczc,6) Strategy Call Follow Up,,,,2026-04-07 23:06:51.571,published
lead_UZBS2qRxdCDtBN7WqxWyKdArchF5e8nldRTBdB1Lwh8,acti_3QkSmhS5Yj8aiJBbMZVE6B5UZ76W3qJFTk9RymCfDti,6) Strategy Call Follow Up,,,,2026-04-02 22:13:16.190,published
lead_UZBS2qRxdCDtBN7WqxWyKdArchF5e8nldRTBdB1Lwh8,acti_SFz1NxhcrDT1G4dQWlOUHHrlGEE1XAHzpKpkSwMfiYm,5) Strategy Call,1. Follow Up,,,2026-03-21 00:25:46.013,published
lead_UZBS2qRxdCDtBN7WqxWyKdArchF5e8nldRTBdB1Lwh8,acti_rXPeS0jd66w7F7pSwKCyJLitwE5cbsjt3ALWXIAZdkV,6) Strategy Call Follow Up,,,,2026-04-21 00:10:34.487,published
lead_UZOOKDOm7NZvoOrsbMJXzPoN12DV2VMAObZv9oUkeQ7,acti_Gy9vIUhrmCsFkDIhNsn2oTtiOLkwTr0fWwjaDFvMlK1,5) Strategy Call,3. Cancel- Not Interested,,,2026-05-26 01:54:41.994,published
lead_UZiSjigp1z5fOs8Uwjjwh1IAY4IgiqEJgfCLUnN9Rwp,acti_OozXxgfWrsuKm7AdKRyVuo2HZ0RUyBjuaNe7YfrZvL2,5) Strategy Call,1. Follow Up,,,2026-05-18 20:53:15.478,published
lead_UZiSjigp1z5fOs8Uwjjwh1IAY4IgiqEJgfCLUnN9Rwp,acti_WZPyvfkYIZmwK2bZk5hJpf99jjyv7QUxxHzn5oNV5fM,5) Strategy Call,5. Reschedule,,,2026-05-15 19:02:08.891,published
lead_UZiSjigp1z5fOs8Uwjjwh1IAY4IgiqEJgfCLUnN9Rwp,acti_qPyuLsicTJ4uzeUIlismIPUCCqBe13Q9rmxnaCKUGuy,6) Strategy Call Follow Up,,,,2026-05-19 01:10:38.088,published
lead_UZiSjigp1z5fOs8Uwjjwh1IAY4IgiqEJgfCLUnN9Rwp,acti_w5efxQX4XPFbUygMI6hOF9tA4i0kyhS7sWvhra3hcdT,6) Strategy Call Follow Up,,,,2026-06-12 22:38:06.615,published
lead_UauoxOQsYtUYIcspMXCaESv5fIwp7XWqeWk0L51WvLV,acti_0CHa1tj0xbuaL3MEXtxlPb8LMH5cI1jeFBH3amuUnuv,5) Strategy Call,3. Cancel- Not Interested,,,2026-06-20 00:36:53.931,published
lead_UbYaMh9zCibSh391Nn3pYFpfEI9mfkPvKO2RoeGE2vL,acti_HhP6uQDJBPRqkY1qvQvpl9AOEE1g8QDnCQ0kw8hSMjH,6) Strategy Call Follow Up,,bret@dataengineeracademy.com,Bret Mavrich,2026-04-07 03:37:55.887,published
lead_UbYaMh9zCibSh391Nn3pYFpfEI9mfkPvKO2RoeGE2vL,acti_UlcluXIwDwuatNHKGxTQqLbLCI3XovJQYFo3mBlWVP0,5) Strategy Call,1. Follow Up,bret@dataengineeracademy.com,Bret Mavrich,2026-04-08 02:56:25.758,published
lead_UbYaMh9zCibSh391Nn3pYFpfEI9mfkPvKO2RoeGE2vL,acti_UmFZdE6kWUAcOZ3bwFpk0oKDrNmSqfcnGZq3XVp53JK,6) Strategy Call Follow Up,,bret@dataengineeracademy.com,Bret Mavrich,2026-04-10 03:31:41.418,published
lead_UdO0dl5eaYlS0PgMalt5M2M9v8TJuGiVVx4VhPEWeFj,acti_0il51GAMDGYPxr07mLQ0uPlgdWe872XYj1dFrFilWYa,5) Strategy Call,2. Admin Cancel,,,2026-03-31 00:27:44.773,published
lead_UdXn3eJQFeQPKlTR7OgOvBnfZt7xoI6qBCrx4yawE7z,acti_0ciy1WHHCBeUmIPyh7j1s3ysF8sHHSojFVtL5GbxLW9,5) Strategy Call,4. No Show,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-04-20 02:30:58.174,published
lead_UdXn3eJQFeQPKlTR7OgOvBnfZt7xoI6qBCrx4yawE7z,acti_tEMF5RBnrDBo16yDKbrv13cynrUJnPakvzGA8s4GaT4,5) Strategy Call,4. No Show,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-04-20 02:34:19.624,published
lead_UdXn3eJQFeQPKlTR7OgOvBnfZt7xoI6qBCrx4yawE7z,acti_xRMwW7sM8WWW6smJDatBZYDb368zuvdv8HyPnL3OPxe,5) Strategy Call,4. No Show,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-04-20 02:38:19.163,published
lead_Ue1hD0iR9XORMgau0aPG9jKsh8TD7XTx4bbkR6k7JRs,acti_2lXONsasavsAXPSzaEL97xr3ei81YqDwUR4C6joLhPB,5) Strategy Call,4. No Show,jordon@dataengineeracademy.com,Jordon Eggleston,2026-04-14 12:54:42.328,published
lead_UfdpKUExL0hjUgZJQPy3wUAmIhCs0WY9oJFiFXDm2Jf,acti_WDeFIjFedwg4C10tN7WzvyPR3KNdTTBoSV6o39jGH1I,5) Strategy Call,1. Follow Up,bron@dataengineeracademy.com,Bron Novak,2026-05-04 19:56:42.504,published
lead_UgpBHZxSsLZFK7ZWFX6i1jFWSQlwQeJwIXua03i0ax3,acti_AM3UI6qnyJXsatjfhKVDU5OBOqC2wvjXZvlBW8KmrMG,5) Strategy Call,4. No Show,,,2026-05-14 17:00:00.000,published
lead_UjmmBAdBQUk4VZFmHigWMSdud97wwKAJ61mAQIsl4gq,acti_2AJGu3yQsxNmXPuIvGNRzpI2zklbFfkqEDy3ajdevD4,5) Strategy Call,1. Follow Up,olivier@dataengineeracademy.com,Olivier Auguste,2026-06-22 15:55:49.559,published
