LEAD_ID,ACTIVITY_ID,CUSTOM_ACTIVITY,CUSTOM_ACTIVITY_OUTCOME,DEA_INTERNAL_EMAIL,DEA_INTERNAL_NAME,ACTIVITY_AT,STATUS_CHANGE
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_Se4VzNsSg7cnRG9UZL5RYQj8qqMkVfO7zkgkeJqD8N7,6) Strategy Call Follow Up,,,,2026-03-31 23:18:29.495,published
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_TUFP9rCd1ZEAVrNLQCyBTTg2Gdfp0VbZXShtfbvXDuS,6) Strategy Call Follow Up,,,,2026-03-21 23:57:21.721,published
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_Vr6Hm05X5LJriBbOIfGjKyJZvX9pA4fI9qwvW4naQUZ,6) Strategy Call Follow Up,,,,2026-03-21 02:08:19.741,published
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_flgbSy7QBtBjrgkQIcyOJnqDl6esSp6sHkYS8al0b9W,6) Strategy Call Follow Up,,,,2026-03-25 18:00:00.000,published
lead_LHwe0LdOhcjQE66wvIzysO3SNABHY1IYV5GlV2LDZ9y,acti_nRsjHfQ6tGpxgLwpzV7fMFm4DcGeOmA7nqvX1QU8nfD,6) Strategy Call Follow Up,,,,2026-04-01 20:02:00.000,published
lead_LI3igmH2LI1x74X5CG606YwgVYBq0fcqK2yNjH4Hlc8,acti_mnnNECMDlf420QmOpEN9VZZChrKcH9G5CyakbYN8WnW,5) Strategy Call,2. Admin Cancel,,,2026-04-17 13:22:29.819,published
lead_LIdVyEJuC2z5TRPB9t0kcn1Tw5mEWH0XPvUO3eo7ofL,acti_GpHFxbJAKoyqZHDUF3aqcBkzlFsE8U978KxrAY8hAO3,5) Strategy Call,3. Cancel- Not Interested,,,2026-06-10 20:37:15.437,published
lead_LJZBIigVaMFNuV0O8s5YcB8a5HwrCo4HRGuAhZZlmHf,acti_xaPuXChyLpO6jQjhVD8j57LjuHWPTUoeGlHqy9EsLQs,5) Strategy Call,5. Reschedule,olivier@dataengineeracademy.com,Olivier Auguste,2026-04-15 14:54:13.865,published
lead_au4QohQGER9JTno8h4bPknK8sOh4mwBqcVUDf7xl2Js,acti_2fEWE8Ruh9oynT05byvniKNQulT6M5d72FwGwf32mFr,5) Strategy Call,1. Follow Up,bron@dataengineeracademy.com,Bron Novak,2026-04-09 18:27:42.485,published
lead_auCjPqVIqmabcP02hH4NNldZXzfCw8Z3SFd8yUaPdrw,acti_hkEVqsVuYWneG2qq2WSyG6rW9x59JedxxJ9W5Jjt0Wh,5) Strategy Call,3. Cancel- Not Interested,jordon@dataengineeracademy.com,Jordon Eggleston,2026-04-14 12:57:54.986,published
lead_awc6IuMkpq3FG78OT217UYbda4HaklPc1jU2RYFhot0,acti_Ly8xF2zqmpVWAQ4CfocHJeRIXAmsLmpvq4OBBIlEvmG,6) Strategy Call Follow Up,,olivier@dataengineeracademy.com,Olivier Auguste,2026-04-17 15:08:23.762,published
lead_awc6IuMkpq3FG78OT217UYbda4HaklPc1jU2RYFhot0,acti_RchcYAkdQOrhNdZJRU5r3LcrFlfwqsegBiMpCqp8F0j,5) Strategy Call,1. Follow Up,olivier@dataengineeracademy.com,Olivier Auguste,2026-04-17 15:06:10.081,published
lead_awc6IuMkpq3FG78OT217UYbda4HaklPc1jU2RYFhot0,acti_sAyOXNDRq2Dc5lV4txpbBfnyEHHGewlpCs7acCVyhIh,6) Strategy Call Follow Up,,olivier@dataengineeracademy.com,Olivier Auguste,2026-04-27 15:26:33.824,published
lead_aweIhGVFLcQ9P8VvBKYAcjyMVQqIGp36B5IkMZjQLPm,acti_vagse6ZIsjkb1Pa2UrkeSf5H7NWwRR9Bq5nt6NfxPhD,5) Strategy Call,1. Follow Up,,,2026-04-30 16:29:24.793,published
lead_awrY8H3R8bl7pUqekX75tSt9Fp0LMhFC9GRYFP3tmNI,acti_CiqdkqrhHxDNyOmIds6fFRky61O0bKWy6PUgfLkDYzP,5) Strategy Call,4. No Show,,,2026-05-07 21:44:33.419,published
lead_aydee0gBSmDEriG4imvUMGPHQ9UoO4tQELKUI3E62u9,acti_EGhZORTCztufXJlllIbTyF15CXGSTIgqleMtqh91N6T,5) Strategy Call,1. Follow Up,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-06-01 19:33:54.427,published
lead_aydee0gBSmDEriG4imvUMGPHQ9UoO4tQELKUI3E62u9,acti_ceSOHObKuClVwdCIC983Bmg8LWiTvtte8TABwhw78pW,5) Strategy Call,4. No Show,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-05-28 14:29:08.072,published
lead_aydee0gBSmDEriG4imvUMGPHQ9UoO4tQELKUI3E62u9,acti_uaPq8HC2kmARPBHSj8YdlG3nRd7lGo1PHWcClECpD5k,5) Strategy Call,1. Follow Up,mahmoud@dataengineeracademy.com,Mahmoud Toblany,2026-05-30 22:17:43.519,published
lead_azFkJKkC7JXmwKowH6OGmsmaY1k4o46vGpOmu8DLORg,acti_M1Gdvd0d7N2RCshWled34SLxiIitz22GgLikrmMjfF9,5) Strategy Call,4. No Show,,,2026-06-20 16:37:41.377,published
lead_azYfae0GM68SJvQNLs3vDAgQAEzE7MFSaszPIQAkM71,acti_0xQLm4AGv3tKxhHKGryUacNUlE3pJFu1ImFRB9fACJg,5) Strategy Call,4. No Show,jordon@dataengineeracademy.com,Jordon Eggleston,2026-06-04 22:04:41.786,published
lead_b45B55skDsBYkEisH9rAjisCEZhNcK0HjzgLSmsQa0a,acti_GGbErQ9gTPwLGuADuQszs2q8CDZA3xhLpuL1O9SI3Ha,5) Strategy Call,5. Reschedule,,,2026-06-11 22:23:30.629,published
lead_b45B55skDsBYkEisH9rAjisCEZhNcK0HjzgLSmsQa0a,acti_L1lORr6y0vVz9xXx3YEwtI1Ivr0aTTu6qZHPrJ3NT7j,5) Strategy Call,5. Reschedule,,,2026-06-10 20:07:37.582,published
lead_b45B55skDsBYkEisH9rAjisCEZhNcK0HjzgLSmsQa0a,acti_jm8zPWRg6kL6vmjNYIR6HXTro4TT8EElXzfPHzviJMQ,5) Strategy Call,5. Reschedule,,,2026-06-10 20:37:19.868,published
lead_b4bLscgS8OqFS9ctOdefHdagTXM6WZOOCkcusfW2lfE,acti_wNe01nORy04OGaRXr8gJOMkVNMIBseSmfxrSpe8hoUJ,5) Strategy Call,4. No Show,,,2026-04-22 13:41:47.938,published
lead_b4f4TQ8lqLnwDLoWAGrtqBGKlbDTqIBTEYLcWhHsNQV,acti_IlFjof3vnaAaW2j3jpE75Mjz3MB3FPTdafpxwwsKA9i,5) Strategy Call,1. Follow Up,,,2026-05-29 18:51:02.646,published
lead_LMFP74dzbh5pczzzKZMpZvt9Cg9kssbGT0G51YDqnHb,acti_en70zTR2dWc4bao5REroFajczSpYLhCgcDawDQGYQz0,6) Strategy Call Follow Up,,,,2026-06-17 16:52:01.094,published
lead_LMFP74dzbh5pczzzKZMpZvt9Cg9kssbGT0G51YDqnHb,acti_fQxTcrgWTFsCJpAPuia0WReHgWTwa0rj2OshfhQoaeg,5) Strategy Call,1. Follow Up,,,2026-06-17 16:50:00.179,published
lead_LMFP74dzbh5pczzzKZMpZvt9Cg9kssbGT0G51YDqnHb,acti_s3sxFMm09yvDL5ap7sx0oh1SHAPM1aFbdwr8VEdCLKe,6) Strategy Call Follow Up,,,,2026-06-17 16:51:59.483,published
lead_LNLlTTkYWtCs4PmRH1mAtuwP2xMweh9S5SmbLYo90ND,acti_5wPVqjr0CO5Fm0ERo9dXuJwGzZDB9nB42DknA5uiErJ,6) Strategy Call Follow Up,,,,2026-05-20 13:10:05.646,published
lead_LNLlTTkYWtCs4PmRH1mAtuwP2xMweh9S5SmbLYo90ND,acti_ZipNbUKhQlPZTizhvjCFJ8AdzbG1B071uzZP1VTPCU0,6) Strategy Call Follow Up,,,,2026-05-04 16:59:37.526,published
lead_LNLlTTkYWtCs4PmRH1mAtuwP2xMweh9S5SmbLYo90ND,acti_jxiCXrKiGoWbkC75zYuYr7KotiVL9qo1cPQoo5zKxQg,5) Strategy Call,1. Follow Up,,,2026-03-18 22:47:56.002,published
lead_LOb51bcTP2eNNslPpcIRWsSlqb8O35oAEStsbDQisnh,acti_XIOE27U7jAFMzLeOC7hLV1PLNU5LqGOcLglvHSymx61,6) Strategy Call Follow Up,,,,2026-05-19 22:26:34.263,published
lead_LOb51bcTP2eNNslPpcIRWsSlqb8O35oAEStsbDQisnh,acti_qnSrFvEikH1p4xMLRsRqIbzOzGwvP2ICiXMu9oRpdrI,5) Strategy Call,1. Follow Up,,,2026-05-15 22:05:23.247,published
lead_LQNQoP1VXSvQgedw5m5whjO5tJUjeImgVkXoq0skP6p,acti_XMPsPJvr9UCNuolDjZ6KqfoCSdwDNlwUQH98BFzmkUw,5) Strategy Call,1. Follow Up,diana@dataengineeracademy.com,Diana Kazumyan,2026-06-24 16:07:03.926,published
lead_LRDAxbyFnHuEGXb1U1cCHmGWcbubTGATw11PTj8Ucfd,acti_4FrOIxdhCdyOaPFLKvodmV7aTM8iQ44MTkG6U14y7yb,6) Strategy Call Follow Up,,,,2026-03-24 00:50:25.567,published
lead_LRDAxbyFnHuEGXb1U1cCHmGWcbubTGATw11PTj8Ucfd,acti_5iXv1jMEQoqU8vXFnWlWqrWfTpsXJXVN4o8HkEfvD5N,6) Strategy Call Follow Up,,,,2026-04-02 22:00:00.000,published
lead_LRDAxbyFnHuEGXb1U1cCHmGWcbubTGATw11PTj8Ucfd,acti_VsEJIfiPvbpvV4AGSjIwVs84bRnlYOUA4LEtklmc4vy,6) Strategy Call Follow Up,,,,2026-04-09 01:15:04.937,published
lead_LRDAxbyFnHuEGXb1U1cCHmGWcbubTGATw11PTj8Ucfd,acti_uqypEXvvhVld9A1Q3PNRPaQhKlRzSGjraX0wu4OyM9I,6) Strategy Call Follow Up,,,,2026-03-28 00:20:22.076,published
lead_LRleBSC10q2L2QtW7biYXNuefNOAGKCNLene09rkID0,acti_g0E3n3rsU4qZINFqo4EHTM8fPrNUnU9bnkq4bN3nehA,5) Strategy Call,4. No Show,jordon@dataengineeracademy.com,Jordon Eggleston,2026-05-15 15:50:34.111,published
